id	type	modified	license	rightsHolder	collectionID	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	sex	lifeStage	otherCatalogNumbers	associatedMedia	associatedSequences	eventID	eventDate	year	month	day	verbatimEventDate	habitat	higherGeography	continent	waterBody	islandGroup	island	country	stateProvince	county	locality	verbatimLocality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceRemarks	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lithostratigraphicTerms	group	formation	member	bed	identificationID	identifiedBy	dateIdentified	typeStatus	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode
MCZ:Orn:57546	PhysicalObject	2013-10-16 12:45:35.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:57546	57546	Data Checked: card - April 2009 REF |		McGregor, Celestino	1	unknown					602041	1911-07-01				7/1911		Pacific Ocean: Pacific, Western Central: Sulu Sea: Basterra Reef	Pacific Ocean					Sulu Sea		Maender Reef [=Basterra Reef]	Southeast Asia, Philippines, [Sulu Sea], Maender Reef [=Basterra Reef]																														1091178	Catalog			Sula leucogaster plotus	Animalia	Chordata	Aves	Pelecaniformes	Sulidae	Sula	leucogaster	plotus		(Forster, 1844)	ICZN
MCZ:Orn:57545	PhysicalObject	2013-10-16 12:45:35.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:57545	57545	Data Checked: card - April 2009 REF |		McGregor, Celestino	1	unknown					602041	1911-07-01				7/1911		Pacific Ocean: Pacific, Western Central: Sulu Sea: Basterra Reef	Pacific Ocean					Sulu Sea		Maender Reef [=Basterra Reef]	Southeast Asia, Philippines, [Sulu Sea], Maender Reef [=Basterra Reef]																														1091179	Catalog			Sula leucogaster plotus	Animalia	Chordata	Aves	Pelecaniformes	Sulidae	Sula	leucogaster	plotus		(Forster, 1844)	ICZN
MCZ:Orn:57547	PhysicalObject	2013-10-16 12:45:43.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:57547	57547	Data Checked: card - April 2009 REF |		McGregor, Celestino	1	unknown					602041	1911-07-01				7/1911		Pacific Ocean: Pacific, Western Central: Sulu Sea: Basterra Reef	Pacific Ocean					Sulu Sea		Maender Reef [=Basterra Reef]	Southeast Asia, Philippines, [Sulu Sea], Maender Reef [=Basterra Reef]																														1091181	Catalog			Sula leucogaster plotus	Animalia	Chordata	Aves	Pelecaniformes	Sulidae	Sula	leucogaster	plotus		(Forster, 1844)	ICZN
MCZ:Orn:340262	PhysicalObject	2015-04-03 16:50:26.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:340262	340262	Data Checked: specimen - June 2009 DTT |		Gerrard, E.	1	unknown		previous number=262			605081	1700-01-01				[no verbatim date data]		Europe: British Isles	Europe			British Isles					Europe																														1094228	Catalog			Anser fabalis brachyrhynchus	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser	fabalis	brachyrhynchus		Baillon, 1834	ICZN
MCZ:Orn:14724	PhysicalObject	2014-12-18 16:16:26.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:14724	14724	Data Checked: card - April 2009 REF |		Dohrn, H.	1	unknown					624909	1870-10-10				10/10/1870		Europe: Pomerania	Europe					Pomerania			Europe, Pomerania																														1114124	Catalog			Phalacrocorax carbo sinensis	Animalia	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Phalacrocorax	carbo	sinensis		(Blumenbach, 1798)	ICZN
MCZ:Orn:12941	PhysicalObject	2014-12-18 16:16:26.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:12941	12941	Data Checked: card - April 2009 REF |		Dohrn, H.	1	unknown					624910	1700-01-01				[no verbatim date data]		Europe: Pomerania	Europe					Pomerania			Europe, Pomerania																														1114125	Catalog			Phalacrocorax carbo sinensis	Animalia	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Phalacrocorax	carbo	sinensis		(Blumenbach, 1798)	ICZN
MCZ:Orn:12942	PhysicalObject	2014-12-18 16:16:26.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:12942	12942	Data Checked: card - April 2009 REF |		Dohrn, H.	1	unknown					624910	1700-01-01				[no verbatim date data]		Europe: Pomerania	Europe					Pomerania			Europe, Pomerania																														1114126	Catalog			Phalacrocorax carbo sinensis	Animalia	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Phalacrocorax	carbo	sinensis		(Blumenbach, 1798)	ICZN
MCZ:Orn:99989	PhysicalObject	2015-06-04 14:02:43.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:99989	99989	Data Checked: card - April 2009 REF |		Thayer, G. H.	1	unknown					640741	1924-07-29				29/7/1924		North America: Saint Vincent and the Grenadines: Grenadines: Battowia Bullet	North America		Grenadines	Battowia Bullet		Saint Vincent and the Grenadines			Caribbean Sea, The Grenadines						12d 58m s N	61d 9m s W	deg. min. sec.			unknown	0	[no agent data]	unknown	unknown															1130034	Catalog			Sula dactylatra dactylatra	Animalia	Chordata	Aves	Pelecaniformes	Sulidae	Sula	dactylatra	dactylatra		Lesson, 1831	ICZN
MCZ:Orn:75667	PhysicalObject	2015-06-04 14:01:56.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:75667	75667			[no agent data]	1						648709	1700-01-01				[no verbatim date data]		South America: Tierra del Fuego	South America					Tierra del Fuego			South America, Tierra del Fuego																														1138050	[no agent data]			Chloephaga poliocephala	Animalia	Chordata	Aves	Anseriformes	Anatidae	Chloephaga	poliocephala			Sclater, 1857	ICZN
MCZ:Orn:75616	PhysicalObject	2010-10-08 11:19:07.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:75616	75616			Peale, T. R.	1	male					648709	1700-01-01				[no verbatim date data]		South America: Tierra del Fuego	South America					Tierra del Fuego			South America, Tierra del Fuego																														1138051	[no agent data]			Chloephaga poliocephala	Animalia	Chordata	Aves	Anseriformes	Anatidae	Chloephaga	poliocephala			Sclater, 1857	ICZN
MCZ:Orn:271402	PhysicalObject	2015-10-27 12:45:54.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:271402	271402	Data Checked: card - June 2009 MF2 |		William Louis Abbott	1	male					657207	1896-03-17				17/3/1896		Southeast Asia: Prahman	Southeast Asia					Prahman		Trong, Lower Siam	Southeast Asia, Prahman, Trong, Lower Siam																														1146572	[no agent data]			Pelargopsis amauroptera	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Pelargopsis	amauroptera			(Pearson, 1841)	ICZN
MCZ:Orn:158852	PhysicalObject	2010-12-12 20:19:43.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:158852	158852			[no agent data]	1	male					664490	1913-07-22				22/7/1913		Russia: Behring Sea					Russia	Behring Sea		Providenya Bay	Russia, Behring Sea, Providenya Bay																														1153864	[no agent data]			Somateria mollissima	Animalia	Chordata	Aves	Anseriformes	Anatidae	Somateria	mollissima			(Linnaeus, 1758)	ICZN
MCZ:Orn:83535	PhysicalObject	2015-10-27 12:45:53.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:83535	83535	Preparation Description: removed from mount | Data Checked: card - January 2009 MF2 | Label: Original label OK |		[no agent data]	1			previous number=Lafr 617			671942	1700-01-01				[no verbatim date data]		Asia: Lesser Sunda Islands: Timor	Asia		Lesser Sunda Islands	Timor					Southeast Asia																														1161338	[no agent data]			Accipiter fasciatus hellmayri	Animalia	Chordata	Aves	Falconiformes	Accipitridae	Accipiter	fasciatus	hellmayri			ICZN
MCZ:Orn:11673	PhysicalObject	2015-06-04 14:18:33.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:11673	11673			Edgar Leopold Layard	1	unknown					722456	1700-01-01				[no verbatim date data]		Africa: Crozet Islands	Africa				Crozet Islands				Indian Ocean						23.5554285d	-109.935545d	decimal degrees	23.5554285	-109.935545	WGS84		Museo de Zoología de la Facultad de Ciencias (MZFC)	Navarro-Sigüenza, A. G., Peterson, A. T. and Gordillo-Martinez, A. (2003) Museums working together: the atlas of the birds of Mexico. Bull. Brit. Orn. Club 123A: 207–225.	INEGI 1:250k topographic map series (1988) and/or Paynter's Gazetteer (1955)															1212089	[no agent data]			Chionis minor crozettensis	Animalia	Chordata	Aves	Charadriiformes	Chionididae	Chionis	minor	crozettensis			ICZN
MCZ:Orn:149848	PhysicalObject	2013-08-01 11:16:37.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:149848	149848			Ward, A. E.	1	male					724764	1905-03-25				25/3/1905		Asia: Kashmir	Asia					Kashmir		Khommov.	Asia, Kashmir, Khommov.	6000-6000 ft	1828.8	1828.8		1828.8																									1214408	Catalog			Prunella himalayana	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	himalayana			(Blyth, 1842)	ICZN
MCZ:Orn:149849	PhysicalObject	2013-08-01 11:16:38.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:149849	149849			Ward, A. E.	1	male					724764	1905-03-25				25/3/1905		Asia: Kashmir	Asia					Kashmir		Khommov.	Asia, Kashmir, Khommov.	6000-6000 ft	1828.8	1828.8		1828.8																									1214409	Catalog			Prunella himalayana	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	himalayana			(Blyth, 1842)	ICZN
MCZ:Orn:75208	PhysicalObject	2015-06-04 14:18:35.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:75208	75208	Preparation Description: knocked down mounted skin |  Data Checked: specimen, card - October 2010 RHS |  Label: Original label OK |		[no agent data]	1			previous number=Lafr 6931			726476	1700-01-01				[no verbatim date data]		Asia: Lesser Sunda Islands: Timor	Asia		Lesser Sunda Islands	Timor					Southeast Asia																														1216127	Catalog			Ducula rosacea rosacea	Animalia	Chordata	Aves	Columbiformes	Columbidae	Ducula	rosacea	rosacea			ICZN
