ID,TaxonName,Author,OriginalName,OriginalAuthor,WoRMsExactMatch,lsid
37929,Architectonica reevei,'(Hanley, 1862)',Architectonica reevi,,false,urn:lsid:marinespecies.org:taxname:588206
37932,Rapana rapiformis,'(Born, 1778)',Rapana rapiformis,'(Von Born, 1778)',true,urn:lsid:marinespecies.org:taxname:140415
180593,Buccinum donomani,'(Linnaeus, 1758)',,,,
179963,Codakia paytenorum,'(Iredale, 1937)',Codakia paytenorum,'Iredale, 1937',true,urn:lsid:marinespecies.org:taxname:215841
0,Rissoa venusta,'Garrett, 1873',Rissoa venusta,,true,urn:lsid:marinespecies.org:taxname:607233
62156,Rissoa venusta,'Garrett, 1873',Rissoa venusta,Phil.,true,urn:lsid:marinespecies.org:taxname:607233
