verbatim	standard	checked	error	misplaced	incorrectable	source	comment
PreservedSpecimen	PreservedSpecimen	1					
Preserved Specimen	PreservedSpecimen	1					
voucher	PreservedSpecimen	1					
FossilSpecimen	FossilSpecimen	1					
LivingSpecimen	LivingSpecimen	1					
HumanObservation	HumanObservation	1					
MachineObservation	MachineObservation	1					
StillImage	MachineObservation	1					
MovingImage	MachineObservation	1					
Sound	MachineObservation	1					
fossil		0					
preservedspecimen		0					
