identificationRemarks,minimumDepthInMeters,verbatimLatitude,month,lithostratigraphicTerms,georeferenceSources,continent,group,latestEpochOrHighestSeries,recordNumber,coordinatePrecision,maximumDepthInMeters,waterBody,kingdom,decimalLatitude,verbatimTaxonRank,earliestEraOrLowestErathem,infraspecificEpithet,informationWithheld,latestEraOrHighestErathem,coordinateUncertaintyInMeters,day,individualCount,institutionID,lifeStage,associatedSequences,scientificName,habitat,sex,scientificNameAuthorship,associatedTaxa,year,identificationVerificationStatus,verbatimElevation,basisOfRecord,otherCatalogNumbers,latestPeriodOrHighestSystem,specificEpithet,geodeticDatum,collectionCode,higherGeography,latestAgeOrHighestStage,fieldNumber,disposition,earliestEpochOrLowestSeries,minimumElevationInMeters,earliestAgeOrLowestStage,language,island,decimalLongitude,startDayOfYear,formation,genus,family,dynamicProperties,county,associatedMedia,phylum,references,higherClassification,islandGroup,ownerInstitutionCode,eventDate,associatedOccurrences,catalogNumber,verbatimLongitude,type,preparations,nomenclaturalCode,maximumElevationInMeters,verbatimCoordinateSystem,modified,bed,georeferencedBy,country,georeferenceRemarks,institutionCode,rightsHolder,identificationQualifier,identifiedBy,earliestPeriodOrLowestSystem,id,georeferenceProtocol,locality,stateProvince,member,taxonRank,typeStatus,samplingProtocol,class,dateIdentified,verbatimEventDate,recordedBy,order
,,,,,,North America,,,,,10,,Animalia,,,,,,,,,1,b4640710-8e03-11d8-b956-b8a03c50a862,,,magellanicus Placopecten,,,"(Gmelin, 1791)",,,,,PreservedSpecimen,malacology accession number=1595,,magellanicus,,Mala,"North America, United States, Maine",,,in collection,,,,en,,,0,,Placopecten,Pectinidae,,,,Mollusca,http://mczbase.mcz.harvard.edu/guid/MCZ:Mala:247327,Animalia Mollusca Bivalvia Pteriomorphia Pectinoida Pectinoidea Pectinidae Placopecten magellanicus,,"Museum of Comparative Zoology, Harvard University",1963-09-01/1963-09-30,,247327,,PhysicalObject,valve (dry),ICZN,,,2014-06-13 16:19:43.0,,,United States,,MCZ,President and Fellows of Harvard College,,[no agent data],,MCZ:Mala:247327,,"Salt Pond, Bluehill",Maine,,,,,Bivalvia,,Sep/1963,K. Read,Pectinoida
,,,,,,,,,,,,,Animalia,,,,,,,,,1,b4640710-8e03-11d8-b956-b8a03c50a862,,,Pecten nodosus,,,"(Linnaeus, 1758)",,,,,PreservedSpecimen,,,nodosus,,Mala,West Indies,,,in collection,,,,en,,,0,,Nodipecten,Pectinidae,,,,Mollusca,http://mczbase.mcz.harvard.edu/guid/MCZ:Mala:74068,Animalia Mollusca Bivalvia Pteriomorphia Pectinoida Pectinoidea Pectinidae Nodipecten nodosus,,"Museum of Comparative Zoology, Harvard University",,,74068,,PhysicalObject,shell (dry); valve (dry),ICZN,,,2014-09-25 15:43:26.0,,,West Indies,,MCZ,President and Fellows of Harvard College,,[no agent data],,MCZ:Mala:74068,,St. Thomas,,,,,,Bivalvia,,[date unknown],[no agent data],Pectinoida
